Mixer name: 'waipio-mtp-snd-card'
Number of controls: 781
ctl	type	num	name                                     value

0	BOOL	1	TX_AIF1_CAP Mixer DEC0                   Off
1	BOOL	1	TX_AIF1_CAP Mixer DEC1                   Off
2	BOOL	1	TX_AIF1_CAP Mixer DEC2                   Off
3	BOOL	1	TX_AIF1_CAP Mixer DEC3                   Off
4	BOOL	1	TX_AIF1_CAP Mixer DEC4                   Off
5	BOOL	1	TX_AIF1_CAP Mixer DEC5                   Off
6	BOOL	1	TX_AIF1_CAP Mixer DEC6                   Off
7	BOOL	1	TX_AIF1_CAP Mixer DEC7                   Off
8	BOOL	1	TX_AIF2_CAP Mixer DEC0                   Off
9	BOOL	1	TX_AIF2_CAP Mixer DEC1                   Off
10	BOOL	1	TX_AIF2_CAP Mixer DEC2                   Off
11	BOOL	1	TX_AIF2_CAP Mixer DEC3                   Off
12	BOOL	1	TX_AIF2_CAP Mixer DEC4                   Off
13	BOOL	1	TX_AIF2_CAP Mixer DEC5                   Off
14	BOOL	1	TX_AIF2_CAP Mixer DEC6                   Off
15	BOOL	1	TX_AIF2_CAP Mixer DEC7                   Off
16	BOOL	1	TX_AIF3_CAP Mixer DEC0                   Off
17	BOOL	1	TX_AIF3_CAP Mixer DEC1                   Off
18	BOOL	1	TX_AIF3_CAP Mixer DEC2                   Off
19	BOOL	1	TX_AIF3_CAP Mixer DEC3                   Off
20	BOOL	1	TX_AIF3_CAP Mixer DEC4                   Off
21	BOOL	1	TX_AIF3_CAP Mixer DEC5                   Off
22	BOOL	1	TX_AIF3_CAP Mixer DEC6                   Off
23	BOOL	1	TX_AIF3_CAP Mixer DEC7                   Off
24	ENUM	1	TX DMIC MUX0                             ZERO
25	ENUM	1	TX DMIC MUX1                             ZERO
26	ENUM	1	TX DMIC MUX2                             ZERO
27	ENUM	1	TX DMIC MUX3                             ZERO
28	ENUM	1	TX DMIC MUX4                             ZERO
29	ENUM	1	TX DMIC MUX5                             ZERO
30	ENUM	1	TX DMIC MUX6                             ZERO
31	ENUM	1	TX DMIC MUX7                             ZERO
32	ENUM	1	TX SMIC MUX0                             ZERO
33	ENUM	1	TX SMIC MUX1                             ZERO
34	ENUM	1	TX SMIC MUX2                             ZERO
35	ENUM	1	TX SMIC MUX3                             ZERO
36	ENUM	1	TX SMIC MUX4                             ZERO
37	ENUM	1	TX SMIC MUX5                             ZERO
38	ENUM	1	TX SMIC MUX6                             ZERO
39	ENUM	1	TX SMIC MUX7                             ZERO
40	ENUM	1	TX DEC0 MUX                              MSM_DMIC
41	ENUM	1	TX DEC1 MUX                              MSM_DMIC
42	ENUM	1	TX DEC2 MUX                              MSM_DMIC
43	ENUM	1	TX DEC3 MUX                              MSM_DMIC
44	ENUM	1	TX DEC4 MUX                              MSM_DMIC
45	ENUM	1	TX DEC5 MUX                              MSM_DMIC
46	ENUM	1	TX DEC6 MUX                              MSM_DMIC
47	ENUM	1	TX DEC7 MUX                              MSM_DMIC
48	INT	1	TX_DEC0 Volume                           102
49	INT	1	TX_DEC1 Volume                           102
50	INT	1	TX_DEC2 Volume                           102
51	INT	1	TX_DEC3 Volume                           102
52	INT	1	TX_DEC4 Volume                           84
53	INT	1	TX_DEC5 Volume                           84
54	INT	1	TX_DEC6 Volume                           84
55	INT	1	TX_DEC7 Volume                           84
56	ENUM	1	DEC0 MODE                                ADC_DEFAULT
57	ENUM	1	DEC1 MODE                                ADC_DEFAULT
58	ENUM	1	DEC2 MODE                                ADC_DEFAULT
59	ENUM	1	DEC3 MODE                                ADC_DEFAULT
60	ENUM	1	DEC4 MODE                                ADC_DEFAULT
61	ENUM	1	DEC5 MODE                                ADC_DEFAULT
62	ENUM	1	DEC6 MODE                                ADC_DEFAULT
63	ENUM	1	DEC7 MODE                                ADC_DEFAULT
64	ENUM	1	TX0 HPF cut off                          CF_NEG_3DB_4HZ
65	ENUM	1	TX1 HPF cut off                          CF_NEG_3DB_4HZ
66	ENUM	1	TX2 HPF cut off                          CF_NEG_3DB_4HZ
67	ENUM	1	TX3 HPF cut off                          CF_NEG_3DB_4HZ
68	ENUM	1	TX4 HPF cut off                          CF_NEG_3DB_4HZ
69	ENUM	1	TX5 HPF cut off                          CF_NEG_3DB_4HZ
70	ENUM	1	TX6 HPF cut off                          CF_NEG_3DB_4HZ
71	ENUM	1	TX7 HPF cut off                          CF_NEG_3DB_4HZ
72	BOOL	1	DEC0_BCS Switch                          Off
73	BOOL	1	TX_SWR_DMIC Enable                       Off
74	ENUM	1	BCS Channel                              CH0
75	ENUM	1	BCS CH_SEL                               SWR_MIC6
76	ENUM	1	DMIC_RATE OVERRIDE                       DISABLED
77	ENUM	1	RX_MACRO RX0 MUX                         ZERO
78	ENUM	1	RX_MACRO RX1 MUX                         ZERO
79	ENUM	1	RX_MACRO RX2 MUX                         ZERO
80	ENUM	1	RX_MACRO RX3 MUX                         ZERO
81	ENUM	1	RX_MACRO RX4 MUX                         ZERO
82	ENUM	1	RX_MACRO RX5 MUX                         ZERO
83	ENUM	1	IIR0 INP0 MUX                            ZERO
84	ENUM	1	IIR0 INP1 MUX                            ZERO
85	ENUM	1	IIR0 INP2 MUX                            ZERO
86	ENUM	1	IIR0 INP3 MUX                            ZERO
87	ENUM	1	IIR1 INP0 MUX                            ZERO
88	ENUM	1	IIR1 INP1 MUX                            ZERO
89	ENUM	1	IIR1 INP2 MUX                            ZERO
90	ENUM	1	IIR1 INP3 MUX                            ZERO
91	ENUM	1	RX MIX TX0 MUX                           ZERO
92	ENUM	1	RX MIX TX1 MUX                           ZERO
93	ENUM	1	RX MIX TX2 MUX                           ZERO
94	ENUM	1	RX INT0 DEM MUX                          NORMAL_DSM_OUT
95	ENUM	1	RX INT1 DEM MUX                          NORMAL_DSM_OUT
96	ENUM	1	RX INT0_2 MUX                            ZERO
97	ENUM	1	RX INT1_2 MUX                            ZERO
98	ENUM	1	RX INT2_2 MUX                            ZERO
99	ENUM	1	RX INT0_1 MIX1 INP0                      ZERO
100	ENUM	1	RX INT0_1 MIX1 INP1                      ZERO
101	ENUM	1	RX INT0_1 MIX1 INP2                      ZERO
102	ENUM	1	RX INT1_1 MIX1 INP0                      ZERO
103	ENUM	1	RX INT1_1 MIX1 INP1                      ZERO
